Name,Created,Levels,Unit
Name Game,"October 29, 2024 8:59 PM","High School (9-12th), Kids (Toddler - 6th Grade), Teens (7-8th Grade)",02 - Data Art
Photo Scavenger Hunt,"October 29, 2024 8:59 PM",All Levels (Kid to Adults),01 - Instructional Art
Partner Drawing Exercise,"October 29, 2024 8:59 PM",Kids (Toddler - 6th Grade),01 - Instructional Art
Chance Operations,"October 29, 2024 8:59 PM",All Levels (Kid to Adults),"01 - Instructional Art, 03 - Interactive Art"
Dance Algorithm,"October 29, 2024 8:59 PM",Kids (Toddler - 6th Grade),03 - Interactive Art
Programmatic Drawing,"October 29, 2024 8:59 PM",All Levels (Kid to Adults),"03 - Interactive Art, 05 - Generative Art"
"Weaving with Punchcards ","October 29, 2024 8:59 PM",All Levels (Kid to Adults),04 - Generative Art
